address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
"Nannasgade 27, 3. TV2200 København N",vn N,2.525.000,15-07-2006,Alm. Salg,31.962,3,Lejlighed,79,1947,,Aktuel værdi
"Jagtvej 145, 2. 12200 København N",vn N,1.895.000,15-07-2006,Alm. Salg,25.958,2,Lejlighed,73,1978,,Aktuel værdi
"Hamletsgade 8, 2. 942200 København N",vn N,1.180.000,14-07-2006,Alm. Salg,25.652,1,Lejlighed,46,1975,,Aktuel værdi
"Vølundsgade 14B, 1. TH2200 København N",vn N,1.718.040,12-07-2006,Alm. Salg,31.815,2,Lejlighed,54,1903,,Aktuel værdi
"Kronborggade 20, 2. TH2200 København N",vn N,2.395.000,06-07-2006,Alm. Salg,32.364,3,Lejlighed,74,1900,,Aktuel værdi
"Esromgade 28, 2. TV2200 København N",vn N,830.000,04-07-2006,Alm. Salg,15.660,2,Lejlighed,53,1904,,Aktuel værdi
"Hamletsgade 15, 3. TV2200 København N",vn N,2.420.000,29-06-2006,Alm. Salg,28.809,3,Lejlighed,84,1947,,Aktuel værdi
"Hiort Lorenzens Gade 4, 1. TV2200 København N",vn N,2.600.000,28-06-2006,Alm. Salg,34.210,3,Lejlighed,76,1905,,Aktuel værdi
"Hamletsgade 24, 2. 22200 København N",vn N,1.385.000,28-06-2006,Alm. Salg,31.477,1,Lejlighed,44,1938,,Aktuel værdi
"Guldbergsgade 11, 5. TV2200 København N",vn N,2.500.000,27-06-2006,Alm. Salg,37.878,3,Lejlighed,66,1885,,Aktuel værdi
"Sorgenfrigade 5, 2. TV2200 København N",vn N,1.550.000,27-06-2006,Fam. Salg,25.833,2,Lejlighed,60,1931,,Aktuel værdi
"Heimdalsgade 40, 4. TH2200 København N",vn N,2.720.000,25-06-2006,Alm. Salg,24.727,5,Lejlighed,110,1934,,Aktuel værdi
"Lundtoftegade 99, 3. TV2200 København N",vn N,1.995.000,20-06-2006,Alm. Salg,35.000,2,Lejlighed,57,1930,,Aktuel værdi
"Julius Bloms Gade 25, 3. TH2200 København N",vn N,2.200.000,19-06-2006,Alm. Salg,34.920,2,Lejlighed,63,1934,,Aktuel værdi
"Wesselsgade 3, 1. TH2200 København N",vn N,2.480.000,18-06-2006,Alm. Salg,42.033,2,Lejlighed,59,1885,,Aktuel værdi
"Kapelvej 1, 3. TH2200 København N",vn N,1.572.500,11-06-2006,Fam. Salg,18.945,4,Lejlighed,83,1891,,Aktuel værdi
"Kapelvej 46, 1. TV2200 København N",vn N,2.700.000,09-06-2006,Alm. Salg,22.881,4,Lejlighed,118,1918,,Aktuel værdi
"Kapelvej 46, 2. TH2200 København N",vn N,2.700.000,09-06-2006,Alm. Salg,22.689,4,Lejlighed,119,1918,,Aktuel værdi
"Læssøesgade 23, 1. TH2200 København N",vn N,2.395.000,08-06-2006,Alm. Salg,39.262,2,Lejlighed,61,1868,,Aktuel værdi
"Birkegade 28, ST. TH2200 København N",vn N,3.150.000,08-06-2006,Alm. Salg,38.888,4,Lejlighed,81,1885,,Aktuel værdi
"Julius Bloms Gade 9, 3. TH2200 København N",vn N,1.615.000,08-06-2006,Fam. Salg,18.563,3,Lejlighed,87,1907,,Aktuel værdi
"Ægirsgade 17, ST. TH2200 København N",vn N,1.809.181,06-06-2006,Alm. Salg,30.664,2,Lejlighed,59,1903,,Aktuel værdi
"Fyensgade 7, 2. TV2200 København N",vn N,2.695.000,06-06-2006,Alm. Salg,40.223,3,Lejlighed,67,1899,,Aktuel værdi
"Peter Fabers Gade 43, 3. TV2200 København N",vn N,1.810.000,04-06-2006,Alm. Salg,36.200,2,Lejlighed,50,1895,,Aktuel værdi
"Møllegade 22, 4. TH2200 København N",vn N,1.995.000,02-06-2006,Alm. Salg,35.625,2,Lejlighed,56,1889,,Aktuel værdi
"Hamletsgade 8, 2. 922200 København N",vn N,1.120.000,01-06-2006,Alm. Salg,25.454,1,Lejlighed,44,1975,,Aktuel værdi
"Hamletsgade 8, 3. 1182200 København N",vn N,1.795.000,30-05-2006,Alm. Salg,27.615,2,Lejlighed,65,1975,,Aktuel værdi
"Vølundsgade 14B, 3. TH2200 København N",vn N,1.900.000,29-05-2006,Alm. Salg,35.185,2,Lejlighed,54,1903,,Aktuel værdi
"Kronborggade 20, 2. TV2200 København N",vn N,2.500.000,28-05-2006,Alm. Salg,38.461,3,Lejlighed,65,1900,,Aktuel værdi
"Krogerupgade 55, 4. TH2200 København N",vn N,1.795.000,26-05-2006,Alm. Salg,34.519,2,Lejlighed,52,1935,,Aktuel værdi
"Gormsgade 11, 1. TV2200 København N",vn N,2.675.000,24-05-2006,Alm. Salg,28.457,3,Lejlighed,94,1903,,Aktuel værdi
"Nordre Fasanvej 240A, 1. TV2200 København N",vn N,3.280.000,24-05-2006,Alm. Salg,26.451,3,Lejlighed,124,1902,,Aktuel værdi
"Rantzausgade 11, 6. 332200 København N",vn N,1.195.000,23-05-2006,Alm. Salg,29.146,1,Lejlighed,41,1970,,Aktuel værdi
"Åboulevard 14, 2. TV2200 København N",vn N,2.671.000,19-05-2006,Alm. Salg,25.438,5,Lejlighed,105,1897,,Aktuel værdi
"Thyrasgade 4, ST. 1112200 København N",vn N,1.675.000,16-05-2006,Alm. Salg,27.916,2,Lejlighed,60,1974,,Aktuel værdi
"Ahornsgade 4, ST. TV2200 København N",vn N,1.575.000,15-05-2006,Alm. Salg,34.239,1,Lejlighed,46,1900,,Aktuel værdi
"Meinungsgade 16, 4. TV2200 København N",vn N,1.950.000,10-05-2006,Alm. Salg,35.454,2,Lejlighed,55,1910,,Aktuel værdi
"Farumgade 1, 4. TV2200 København N",vn N,1.715.000,09-05-2006,Alm. Salg,32.980,2,Lejlighed,52,1892,,Aktuel værdi
"Hillerødgade 15, 1. TH2200 København N",vn N,1.952.000,08-05-2006,Alm. Salg,34.857,2,Lejlighed,56,1935,,Aktuel værdi
"Peter Fabers Gade 45, 2. TV2200 København N",vn N,1.875.000,05-05-2006,Alm. Salg,35.377,2,Lejlighed,53,1895,,Aktuel værdi
"Sortedam Dossering 11, 4. TV2200 København N",vn N,4.750.000,02-05-2006,Alm. Salg,41.666,4,Lejlighed,114,1869,,Aktuel værdi
"Rantzausgade 11, 2. 42200 København N",vn N,450.000,02-05-2006,Alm. Salg,14.062,1,Lejlighed,32,1970,,Aktuel værdi
"Schleppegrellsgade 5, 2. TV2200 København N",vn N,3.649.000,01-05-2006,Alm. Salg,41.465,4,Lejlighed,88,1892,,Aktuel værdi
"Sandbjerggade 48, 4. TH2200 København N",vn N,1.750.000,28-04-2006,Alm. Salg,33.653,2,Lejlighed,52,1935,,Aktuel værdi
"Esromgade 28, 2. TH2200 København N",vn N,2.095.000,25-04-2006,Alm. Salg,38.796,2,Lejlighed,54,1904,,Aktuel værdi
"Kronborggade 24, 2. TH2200 København N",vn N,2.550.000,23-04-2006,Alm. Salg,31.097,4,Lejlighed,82,1900,,Aktuel værdi
"Ørholmgade 6, 1. TH2200 København N",vn N,1.899.000,23-04-2006,Alm. Salg,36.519,2,Lejlighed,52,1935,,Aktuel værdi
"Baldersgade 71, ST. TH2200 København N",vn N,280.000,15-04-2006,Alm. Salg,3.733,2,Lejlighed,75,1903,,Aktuel værdi
"Baldersgade 71, 1. TV2200 København N",vn N,280.000,15-04-2006,Alm. Salg,3.294,2,Lejlighed,85,1903,,Aktuel værdi
"Baldersgade 71, 2. TH2200 København N",vn N,280.000,15-04-2006,Alm. Salg,3.835,3,Lejlighed,73,1903,,Aktuel værdi
"Baldersgade 71, 2. TV2200 København N",vn N,280.000,15-04-2006,Alm. Salg,3.294,3,Lejlighed,85,1903,,Aktuel værdi
"Baldersgade 73, 3. TH2200 København N",vn N,280.000,15-04-2006,Alm. Salg,5.000,2,Lejlighed,56,1903,,Aktuel værdi
"Blågårdsgade 26, 1. 92200 København N",vn N,1.865.000,10-04-2006,Alm. Salg,24.539,2,Lejlighed,76,1972,,Aktuel værdi
"Wesselsgade 3, 4. TH2200 København N",vn N,1.190.000,01-04-2006,Fam. Salg,15.866,3,Lejlighed,75,1885,,Aktuel værdi
"Jagtvej 1, 3. TV2200 København N",vn N,2.530.000,31-03-2006,Alm. Salg,24.326,4,Lejlighed,104,1906,,Aktuel værdi
"Jagtvej 141, 3. D2200 København N",vn N,1.105.000,30-03-2006,Alm. Salg,20.462,1,Lejlighed,54,1970,,Aktuel værdi
"Dagmarsgade 19, 3. 4122200 København N",vn N,1.245.000,29-03-2006,Alm. Salg,21.101,2,Lejlighed,59,1974,,Aktuel værdi
"Lundtoftegade 82, 2. TV2200 København N",vn N,1.360.000,29-03-2006,Fam. Salg,14.315,4,Lejlighed,95,1907,,Aktuel værdi
"Fredensborggade 2, 2. TH2200 København N",vn N,773.500,29-03-2006,Fam. Salg,13.812,2,Lejlighed,56,1903,,Aktuel værdi
"Sandbjerggade 42, ST. TV2200 København N",vn N,830.000,29-03-2006,Fam. Salg,15.961,2,Lejlighed,52,1935,,Aktuel værdi
"Baldersgade 1, 1. TH2200 København N",vn N,2.995.000,29-03-2006,Alm. Salg,19.076,3,Lejlighed,157,1899,,Aktuel værdi
"Rådmandsgade 40C, ST. 742200 København N",vn N,1.225.000,28-03-2006,Alm. Salg,24.500,1,Lejlighed,50,1967,,Aktuel værdi
"Dagmarsgade 17, ST. 1082200 København N",vn N,1.350.000,28-03-2006,Alm. Salg,22.881,2,Lejlighed,59,1974,,Aktuel værdi
"Dagmarsgade 26, 2. 1562200 København N",vn N,1.360.000,16-03-2006,Alm. Salg,30.909,1,Lejlighed,44,1974,,Aktuel værdi
"Schleppegrellsgade 7, ST. TH2200 København N",vn N,2.650.000,16-03-2006,Alm. Salg,29.444,4,Lejlighed,90,1892,,Aktuel værdi
"Rådmandsgade 40B, 5. TV2200 København N",vn N,1.600.000,15-03-2006,Alm. Salg,32.000,2,Lejlighed,50,1899,,Aktuel værdi
"Nørre Sideallé 5, 3. TH2200 København N",vn N,2.035.000,14-03-2006,Alm. Salg,40.700,2,Lejlighed,50,1901,,Aktuel værdi
"Ågade 94, 1. TH2200 København N",vn N,2.750.000,13-03-2006,Alm. Salg,32.352,4,Lejlighed,85,1899,,Aktuel værdi
"Ågade 98, 3. TV2200 København N",vn N,3.427.500,07-03-2006,Alm. Salg,26.777,5,Lejlighed,128,1899,,Aktuel værdi
"Hamletsgade 8, 2. 962200 København N",vn N,1.498.335,02-03-2006,Fam. Salg,24.562,1,Lejlighed,61,1975,,Aktuel værdi
"Esromgade 28, 4. TH2200 København N",vn N,1.545.000,02-03-2006,Alm. Salg,28.611,2,Lejlighed,54,1904,,Aktuel værdi
"Poppelgade 3, 4. TH2200 København N",vn N,1.950.000,01-03-2006,Alm. Salg,37.500,2,Lejlighed,52,1860,,Aktuel værdi
"Åboulevard 50, 5. TV2200 København N",vn N,3.645.000,01-03-2006,Alm. Salg,24.300,3,Lejlighed,150,1899,,Aktuel værdi
"Baldersgade 16, 1. TH2200 København N",vn N,470.000,28-02-2006,Fam. Salg,7.343,2,Lejlighed,64,1890,,Aktuel værdi
"Kapelvej 46, 2. TV2200 København N",vn N,3.070.000,26-02-2006,Alm. Salg,26.016,4,Lejlighed,118,1918,,Aktuel værdi
"Dagmarsgade 19, 2. 3142200 København N",vn N,1.675.000,22-02-2006,Alm. Salg,28.389,2,Lejlighed,59,1974,,Aktuel værdi
"Hamletsgade 8, 4. 1292200 København N",vn N,1.050.000,21-02-2006,Alm. Salg,25.000,1,Lejlighed,42,1975,,Aktuel værdi
"Holtegade 12, 3. MF2200 København N",vn N,2.095.000,21-02-2006,Alm. Salg,32.230,2,Lejlighed,65,1932,,Aktuel værdi
"Jagtvej 141, 3. E2200 København N",vn N,1.180.000,18-02-2006,Fam. Salg,25.106,1,Lejlighed,47,1970,,Aktuel værdi
"Fyensgade 7, 2. TH2200 København N",vn N,2.099.000,16-02-2006,Alm. Salg,33.317,2,Lejlighed,63,1899,,Aktuel værdi
"Hamletsgade 4, 4. 2052200 København N",vn N,1.700.000,16-02-2006,Alm. Salg,26.153,2,Lejlighed,65,1975,,Aktuel værdi
"Møllegade 22, 5. TV2200 København N",vn N,1.995.000,15-02-2006,Alm. Salg,38.365,2,Lejlighed,52,1889,,Aktuel værdi
"Guldbergsgade 11, ST. TV2200 København N",vn N,241.494,10-02-2006,Fam. Salg,3.136,3,Lejlighed,77,1885,,Aktuel værdi
"Ahornsgade 1, 1. TV2200 København N",vn N,2.998.000,10-02-2006,Alm. Salg,39.973,3,Lejlighed,75,1888,,Aktuel værdi
"Ægirsgade 17, 2. TV2200 København N",vn N,1.800.000,08-02-2006,Alm. Salg,33.962,2,Lejlighed,53,1903,,Aktuel værdi
"Baldersgade 76, 5. TH2200 København N",vn N,900.000,08-02-2006,Fam. Salg,14.285,2,Lejlighed,63,1902,,Aktuel værdi
"Krogerupgade 53, 4. TV2200 København N",vn N,2.095.000,07-02-2006,Alm. Salg,39.528,2,Lejlighed,53,1935,,Aktuel værdi
"Åboulevard 34D, ST. TH2200 København N",vn N,975.000,03-02-2006,Alm. Salg,33.620,1,Lejlighed,29,1885,,Aktuel værdi
"Griffenfeldsgade 8, 2. TV2200 København N",vn N,3.295.000,31-01-2006,Alm. Salg,27.689,4,Lejlighed,119,1890,,Aktuel værdi
"Dagmarsgade 19, 1. 2182200 København N",vn N,1.425.000,31-01-2006,Alm. Salg,24.152,2,Lejlighed,59,1974,,Aktuel værdi
"Rantzausgade 11A, 2. 22200 København N",vn N,430.000,30-01-2006,Alm. Salg,13.870,1,Lejlighed,31,1970,,Aktuel værdi
"Thyrasgade 4, 3. 4082200 København N",vn N,1.420.000,30-01-2006,Alm. Salg,28.400,1,Lejlighed,50,1974,,Aktuel værdi
"Dagmarsgade 19, 4. 5122200 København N",vn N,1.700.000,29-01-2006,Alm. Salg,28.813,2,Lejlighed,59,1974,,Aktuel værdi
"Tagensvej 96, 5. 52200 København N",vn N,230.000,27-01-2006,Auktion,13.529,1,Lejlighed,17,1909,,Aktuel værdi
"Tagensvej 75, 4. TH2200 København N",vn N,2.125.000,26-01-2006,Alm. Salg,26.234,3,Lejlighed,81,1902,,Aktuel værdi
"Rådmandsgade 40C, ST. 732200 København N",vn N,850.000,25-01-2006,Fam. Salg,11.971,2,Lejlighed,71,1967,,Aktuel værdi
"Sandbjerggade 56, 1. TH2200 København N",vn N,1.875.000,20-01-2006,Alm. Salg,33.482,2,Lejlighed,56,1935,,Aktuel værdi
"Kronborggade 20, 5. TV2200 København N",vn N,1.800.000,18-01-2006,Alm. Salg,30.508,2,Lejlighed,59,1900,,Aktuel værdi
"Baldersgade 69, 4. TV2200 København N",vn N,1.300.000,17-01-2006,Andet,15.476,3,Lejlighed,84,1903,,Aktuel værdi
"Bjelkes Allé 4, 1. 52200 København N",vn N,1.700.000,15-01-2006,Alm. Salg,27.868,2,Lejlighed,61,1970,,Aktuel værdi
"Hamletsgade 8, 1. 752200 København N",vn N,1.135.000,15-01-2006,Alm. Salg,24.673,1,Lejlighed,46,1975,,Aktuel værdi
"Sorgenfrigade 2, 12200 København N",vn N,3.174.000,13-01-2006,Alm. Salg,26.450,4,Lejlighed,120,1904,,Aktuel værdi
"Tagensvej 57, ST. TH2200 København N",vn N,975.000,10-01-2006,Alm. Salg,26.351,1,Lejlighed,37,1933,,Aktuel værdi
"Læssøesgade 23, 2. TV2200 København N",vn N,899.932,10-01-2006,Fam. Salg,16.362,2,Lejlighed,55,1868,,Aktuel værdi
"Ryesgade 6, 4. TH2200 København N",vn N,3.500.000,10-01-2006,Alm. Salg,32.710,4,Lejlighed,107,1892,,Aktuel værdi
"Dagmarsgade 17, 2. 3092200 København N",vn N,1.455.000,10-01-2006,Alm. Salg,24.661,1,Lejlighed,59,1974,,Aktuel værdi
"Jagtvej 141, 3. A2200 København N",vn N,1.550.000,09-01-2006,Alm. Salg,22.794,2,Lejlighed,68,1970,,Aktuel værdi
"Søllerødgade 32, ST. TH2200 København N",vn N,2.099.000,05-01-2006,Alm. Salg,28.364,3,Lejlighed,74,1932,,Aktuel værdi
"P.D. Løvs Allé 9B, 2. TV2200 København N",vn N,1.650.000,03-01-2006,Alm. Salg,31.132,2,Lejlighed,53,1906,,Aktuel værdi
"Egegade 2, 4. TV2200 København N",vn N,1.640.000,02-01-2006,Fam. Salg,21.025,3,Lejlighed,78,1884,,Aktuel værdi
"Poppelgade 12, 1. TV2200 København N",vn N,1.335.000,30-12-2005,Fam. Salg,26.700,2,Lejlighed,50,1889,,Aktuel værdi
"Lundtoftegade 101, ST. TH2200 København N",vn N,1.690.000,29-12-2005,Alm. Salg,28.166,2,Lejlighed,60,1930,,Aktuel værdi
"Åboulevard 18, 5. TV2200 København N",vn N,2.040.000,24-12-2005,Fam. Salg,13.246,7,Lejlighed,154,1896,,Aktuel værdi
"Ahornsgade 16, 2. TV2200 København N",vn N,2.535.000,23-12-2005,Alm. Salg,37.279,3,Lejlighed,68,1886,,Aktuel værdi
"Nørre Sideallé 5, 3. TV2200 København N",vn N,923.976,23-12-2005,Fam. Salg,16.799,2,Lejlighed,55,1901,,Aktuel værdi
"Nørrebrogade 148, 5. TH2200 København N",vn N,2.965.000,20-12-2005,Alm. Salg,22.807,4,Lejlighed,130,1901,,Aktuel værdi
"Slejpnersgade 6, 5. 12200 København N",vn N,1.199.000,20-12-2005,Alm. Salg,28.547,1,Lejlighed,42,1938,,Aktuel værdi
"Guldbergsgade 11, 4. TH2200 København N",vn N,1.275.000,19-12-2005,Fam. Salg,17.957,3,Lejlighed,71,1885,,Aktuel værdi
"Baldersgade 75, 4. TV2200 København N",vn N,2.170.000,19-12-2005,Alm. Salg,29.324,2,Lejlighed,74,1901,,Aktuel værdi
"Blegdamsvej 26, 1. TV2200 København N",vn N,1.572.500,15-12-2005,Fam. Salg,18.945,3,Lejlighed,83,1878,,Aktuel værdi
"Hamletsgade 4, 4. 2042200 København N",vn N,1.511.090,13-12-2005,Alm. Salg,22.895,2,Lejlighed,66,1975,,Aktuel værdi
"Rådmandsgade 40C, 4. 1172200 København N",vn N,833.000,10-12-2005,Fam. Salg,12.432,3,Lejlighed,67,1967,,Aktuel værdi
"Ahornsgade 4, 4. TH2200 København N",vn N,3.500.000,08-12-2005,Alm. Salg,29.166,4,Lejlighed,120,1900,,Aktuel værdi
"Krogerupgade 49, 4. TH2200 København N",vn N,862.356,06-12-2005,Fam. Salg,16.270,2,Lejlighed,53,1935,,Aktuel værdi
"Hiort Lorenzens Gade 2, 3. TH2200 København N",vn N,3.450.000,06-12-2005,Alm. Salg,23.469,5,Lejlighed,147,1905,,Aktuel værdi
"Peblinge Dossering 20, ST. TV2200 København N",vn N,3.525.000,05-12-2005,Alm. Salg,48.958,2,Lejlighed,72,1886,,Aktuel værdi
"Kronborggade 22, 4. TH2200 København N",vn N,990.000,30-11-2005,Fam. Salg,15.230,3,Lejlighed,65,1900,,Aktuel værdi
"Søllerødgade 46, 1. TH2200 København N",vn N,1.255.000,29-11-2005,Alm. Salg,34.861,2,Lejlighed,36,1886,,Aktuel værdi
"Esromgade 30, ST. TV2200 København N",vn N,1.595.000,27-11-2005,Alm. Salg,29.000,2,Lejlighed,55,1904,,Aktuel værdi
"Birkegade 15B, 2. TH2200 København N",vn N,1.895.000,25-11-2005,Alm. Salg,33.839,2,Lejlighed,56,1892,,Aktuel værdi
"Stefansgade 10, 4. TV2200 København N",vn N,1.595.000,24-11-2005,Alm. Salg,43.108,2,Lejlighed,37,1886,,Aktuel værdi
"Dagmarsgade 38, 3. TH2200 København N",vn N,850.000,21-11-2005,Fam. Salg,12.878,2,Lejlighed,66,1903,,Aktuel værdi
"Birkegade 13, 32200 København N",vn N,3.295.000,20-11-2005,Alm. Salg,38.313,4,Lejlighed,86,1892,,Aktuel værdi
"Guldbergsgade 12, 1. TV2200 København N",vn N,3.100.000,17-11-2005,Alm. Salg,38.271,3,Lejlighed,81,1889,,Aktuel værdi
"Schleppegrellsgade 6, KL. TH2200 København N",vn N,2.395.000,08-11-2005,Alm. Salg,27.215,3,Lejlighed,88,1892,,Aktuel værdi
"Stengade 52B, 4. 42200 København N",vn N,1.185.283,07-11-2005,Alm. Salg,33.865,1,Lejlighed,35,1973,,Aktuel værdi
"Møllegade 22, 3. TV2200 København N",vn N,807.500,01-11-2005,Fam. Salg,15.528,2,Lejlighed,52,1889,,Aktuel værdi
"Schleppegrellsgade 6, 4. TV2200 København N",vn N,2.995.000,01-11-2005,Alm. Salg,31.861,4,Lejlighed,94,1892,,Aktuel værdi
"Rådmandsgade 44, 3. TH2200 København N",vn N,1.650.000,27-10-2005,Alm. Salg,30.000,2,Lejlighed,55,1933,,Aktuel værdi
"Fenrisgade 4, 3. TH2200 København N",vn N,1.795.000,21-10-2005,Alm. Salg,28.951,2,Lejlighed,62,1913,,Aktuel værdi
"Holtegade 10, 4. TV2200 København N",vn N,2.299.000,20-10-2005,Alm. Salg,28.737,2,Lejlighed,80,1932,,Aktuel værdi
"Allersgade 2, 3. TV2200 København N",vn N,1.998.000,19-10-2005,Alm. Salg,25.291,2,Lejlighed,79,1990,,Aktuel værdi
"Rådmandsgade 40C, 5. 1342200 København N",vn N,1.095.000,16-10-2005,Alm. Salg,21.900,1,Lejlighed,50,1967,,Aktuel værdi
"Rådmandsgade 50A, 3. TH2200 København N",vn N,2.095.000,13-10-2005,Alm. Salg,30.808,3,Lejlighed,68,1933,,Aktuel værdi
"Gormsgade 6, 1. 52200 København N",vn N,2.155.000,11-10-2005,Alm. Salg,23.172,3,Lejlighed,93,1965,,Aktuel værdi
"Ole Jørgensens Gade 10, 3. TH2200 København N",vn N,800.000,03-10-2005,Fam. Salg,14.545,2,Lejlighed,55,1901,,Aktuel værdi
"Blågårdsgade 24, 4. TH2200 København N",vn N,1.363.000,03-10-2005,Fam. Salg,14.197,4,Lejlighed,96,1872,,Aktuel værdi
"Rantzausgade 54, 5. TH2200 København N",vn N,1.500.000,03-10-2005,Alm. Salg,32.608,2,Lejlighed,46,1889,,Aktuel værdi
"Sigynsgade 48, 2. TH2200 København N",vn N,985.500,30-09-2005,Alm. Salg,12.634,3,Lejlighed,78,1991,,Aktuel værdi
"Peblinge Dossering 28, ST. TH2200 København N",vn N,1.450.000,29-09-2005,Fam. Salg,17.901,2,Lejlighed,81,1880,,Aktuel værdi
"Sorgenfrigade 4, 3. TH2200 København N",vn N,900.000,29-09-2005,Andet,14.516,2,Lejlighed,62,1933,,Aktuel værdi
"Jagtvej 141, 5. C2200 København N",vn N,100.000,28-09-2005,Alm. Salg,2.083,1,Lejlighed,48,1970,,Aktuel værdi
"Wesselsgade 13, 1. TH2200 København N",vn N,935.000,28-09-2005,Fam. Salg,6.726,5,Lejlighed,139,1875,,Aktuel værdi
"Heimdalsgade 3, 3. TH2200 København N",vn N,1.000.000,27-09-2005,Fam. Salg,13.888,3,Lejlighed,72,1905,,Aktuel værdi
"Jagtvej 141, 5. B2200 København N",vn N,1.080.000,22-09-2005,Alm. Salg,22.500,1,Lejlighed,48,1970,,Aktuel værdi
"Rådmandsgade 40C, 3. 1062200 København N",vn N,1.700.000,18-09-2005,Alm. Salg,26.153,3,Lejlighed,65,1967,,Aktuel værdi
"Asminderødgade 6, 1. TV2200 København N",vn N,2.200.000,09-09-2005,Alm. Salg,30.985,3,Lejlighed,71,1908,,Aktuel værdi
"Vævergade 5, 5. TV2200 København N",vn N,1.735.000,06-09-2005,Alm. Salg,26.692,3,Lejlighed,65,1881,,Aktuel værdi
"Møllegade 20, 1. TH2200 København N",vn N,2.615.500,06-09-2005,Alm. Salg,31.896,2,Lejlighed,82,1889,,Aktuel værdi
"Læssøesgade 19, 2. TV2200 København N",vn N,935.000,05-09-2005,Fam. Salg,16.120,2,Lejlighed,58,1868,,Aktuel værdi
"Krogerupgade 49, 1. TH2200 København N",vn N,1.685.000,05-09-2005,Alm. Salg,31.792,2,Lejlighed,53,1935,,Aktuel værdi
"Nørrebrogade 25, 3. TV2200 København N",vn N,2.965.000,03-09-2005,Fam. Salg,18.885,6,Lejlighed,157,1885,,Aktuel værdi
"Heimdalsgade 14, 3. 62200 København N",vn N,3.400.000,02-09-2005,Alm. Salg,24.460,4,Lejlighed,139,1939,,Aktuel værdi
"Rådmandsgade 46B, 4. TH2200 København N",vn N,1.300.000,01-09-2005,Alm. Salg,25.000,2,Lejlighed,52,1933,,Aktuel værdi
"Esromgade 8, 3. TV2200 København N",vn N,740.000,29-08-2005,Fam. Salg,13.962,2,Lejlighed,53,1902,,Aktuel værdi
"Sigynsgade 42, 4. TH2200 København N",vn N,1.410.000,27-08-2005,Fam. Salg,17.848,3,Lejlighed,79,1991,,Aktuel værdi
"Gormsgade 11, 4. TV2200 København N",vn N,2.400.000,26-08-2005,Alm. Salg,25.531,4,Lejlighed,94,1903,,Aktuel værdi
"Åboulevard 34B, 3. TH2200 København N",vn N,1.495.000,25-08-2005,Alm. Salg,35.595,2,Lejlighed,42,1885,,Aktuel værdi
"Solitudevej 6, 2. TV2200 København N",vn N,1.175.507,24-08-2005,Fam. Salg,14.693,3,Lejlighed,80,1892,,Aktuel værdi
"Krogerupgade 59, 1. TH2200 København N",vn N,1.450.000,24-08-2005,Alm. Salg,27.884,2,Lejlighed,52,1935,,Aktuel værdi
"Peblinge Dossering 28, 2. TV2200 København N",vn N,2.600.000,22-08-2005,Alm. Salg,31.707,3,Lejlighed,82,1880,,Aktuel værdi
"Rådmandsgade 40C, 4. 1262200 København N",vn N,965.000,18-08-2005,Alm. Salg,20.104,1,Lejlighed,48,1967,,Aktuel værdi
"Ægirsgade 15, 2. TH2200 København N",vn N,1.740.000,16-08-2005,Alm. Salg,30.526,2,Lejlighed,57,1903,,Aktuel værdi
"Nordbanegade 22, 3. TV2200 København N",vn N,1.625.000,15-08-2005,Alm. Salg,31.862,2,Lejlighed,51,1898,,Aktuel værdi
"Ægirsgade 21, 3. TV2200 København N",vn N,2.460.000,15-08-2005,Alm. Salg,28.275,3,Lejlighed,87,1903,,Aktuel værdi
"Åboulevard 50, 2. TH2200 København N",vn N,4.500.000,15-08-2005,Alm. Salg,21.028,7,Lejlighed,214,1899,,Aktuel værdi
"Esromgade 12, 3. TV2200 København N",vn N,1.051.756,14-08-2005,Andet,12.671,3,Lejlighed,83,1903,,Aktuel værdi
"Åboulevard 12, 4. TV2200 København N",vn N,2.395.000,06-08-2005,Alm. Salg,29.567,4,Lejlighed,81,1897,,Aktuel værdi
"Ahornsgade 9, ST2200 København N",vn N,2.695.000,01-08-2005,Alm. Salg,30.977,4,Lejlighed,87,1886,,Aktuel værdi
"Sankt Hans Gade 4A, 1. TH2200 København N",vn N,2.398.000,31-07-2005,Alm. Salg,37.468,3,Lejlighed,64,1893,,Aktuel værdi
"Holtegade 12, 5. TV2200 København N",vn N,1.530.000,29-07-2005,Alm. Salg,12.439,4,Lejlighed,123,1932,,Aktuel værdi
"Møllegade 20, 4. TH2200 København N",vn N,2.745.000,27-07-2005,Alm. Salg,33.475,3,Lejlighed,82,1889,,Aktuel værdi
"Tagensvej 96, 2. TH2200 København N",vn N,2.045.000,23-07-2005,Alm. Salg,23.779,3,Lejlighed,86,1909,,Aktuel værdi
"Korsgade 8, 1. TV2200 København N",vn N,3.270.000,22-07-2005,Alm. Salg,24.402,5,Lejlighed,134,1891,,Aktuel værdi
"Birkegade 13, 22200 København N",vn N,2.925.000,21-07-2005,Alm. Salg,34.011,4,Lejlighed,86,1892,,Aktuel værdi
"Holtegade 10, 5. TH2200 København N",vn N,1.685.087,20-07-2005,Alm. Salg,21.884,3,Lejlighed,77,1932,,Aktuel værdi
"Ewaldsgade 4, 12200 København N",vn N,1.615.909,19-07-2005,Alm. Salg,10.162,5,Lejlighed,159,1858,,Aktuel værdi
